index,jour,mois,lumiere,departement,agglomeration,intersection,condition_atmospherique,type_collision,lat,long,velo,categorie_route,circulation,nombre_voie,voie_reservee,declivite,largeur_route,etat_surface,type_infrastructure,voie_accident,limite_vitesse,vacances,Date,weekday,coordinates,closest_compteur,traffic
0,30,11,1,75,2,2,8,3,48.8846,2.37965,False,4,2,3,0,1,-1.0,2,0,1,30,False,2021-11-30 13:42:00,1,"(48.8846, 2.37965)",100056034-101056034,4.0
1,20,11,5,75,2,2,1,3,48.870688,2.347917,False,4,2,3,1,1,-1.0,1,-1,6,30,False,2021-11-20 04:35:00,5,"(48.870688, 2.347917)",100003097-101003097,4.0
2,27,10,1,75,2,3,1,3,48.880491,2.312992,True,4,3,6,1,2,-1.0,1,-1,5,50,False,2021-10-27 11:15:00,2,"(48.880491, 2.312992)",100056038-101056038,2.0
3,16,10,5,75,2,3,1,6,48.848988,2.334113,False,4,2,2,0,1,-1.0,1,0,1,30,False,2021-10-16 21:35:00,5,"(48.848988, 2.334113)",100049407-353255860,1.0
4,18,10,1,75,2,3,1,6,48.86703,2.352976,False,4,2,5,0,1,-1.0,1,0,1,30,False,2021-10-18 17:15:00,0,"(48.86703, 2.352976)",100056334-104056334,5.0
5,12,9,3,75,2,3,1,6,48.897737,2.334588,False,4,3,6,3,1,-1.0,1,-1,6,30,False,2021-12-09 00:15:00,3,"(48.897737, 2.334588)",300021320-353293614,26.0
6,26,1,1,75,2,1,1,6,48.897572,2.327011,False,4,3,6,0,1,-1.0,1,-1,6,30,False,2021-01-26 16:30:00,1,"(48.897572, 2.327011)",100063175-353277235,2.0
7,31,12,4,75,2,2,1,6,48.86505,2.234461,False,4,1,2,0,1,-1.0,1,0,1,50,False,2021-12-31 19:30:00,4,"(48.86505, 2.234461)",100047535-101047535,46.0
8,31,12,5,75,2,3,1,3,48.87587,2.281183,False,4,2,1,0,1,-1.0,1,8,1,30,False,2021-12-31 23:30:00,4,"(48.87587, 2.281183)",100047534-101047534,0.0
9,30,12,5,75,2,1,2,2,48.832615,2.4059,False,4,1,4,0,1,-1.0,2,0,1,70,False,2021-12-30 02:50:00,3,"(48.832615, 2.4059)",100056226-104056226,1.0
10,31,12,1,75,2,3,1,3,48.847565,2.322783,False,4,1,1,2,1,-1.0,1,0,1,30,False,2021-12-31 13:42:00,4,"(48.847565, 2.322783)",100060178-101060178,27.0
11,31,12,5,75,2,2,8,3,48.894305,2.313769,False,4,3,3,0,1,-1.0,2,0,1,30,False,2021-12-31 00:30:00,4,"(48.894305, 2.313769)",100063175-353277235,15.0
